plant,axis,metamer,leaf_pseudo_age,internode_pseudo_age,leaf_is_growing,internode_is_growing,leaf_pseudostem_length,internode_distance_to_emerge,leaf_L,internode_L,delta_leaf_pseudo_age,delta_internode_pseudo_age,delta_internode_distance_to_emerge,delta_internode_L,delta_leaf_L,delta_leaf_pseudostem_length,leaf_Lmax,lamina_Lmax,sheath_Lmax,leaf_Wmax,SSLW,LSSW,leaf_is_emerged,internode_Lmax,LSIW,internode_is_visible,sucrose,amino_acids,fructan,proteins,leaf_enclosed_mstruct,internode_enclosed_mstruct,mstruct,leaf_enclosed_Nstruct,internode_enclosed_Nstruct,Nstruct
1,MS,3,1589281,864000,True,True,0.02895,0.0289,0.0925,0.00005,3600,3600,0,0,0,0,0.1228,0.093426659,0.029373341,0.005,27.6,0.08,True,NA,1,False,4.45E+00,0.560524146,0,8.01E+00,0.001853498,1.32E-06,1.85E-03,9.27E-06,6.62E-09,9.27411E-06
1,MS,4,776406,0,True,True,0.02894,0.02893,0.026,0.00001,3600,0,0,0,0,0,0.1331,0.099106478,0.033993522,0.0055,27.6,0.08,False,NA,NA,False,1.90E+00,0.352212086,0,5.03E+00,0.000793554,1.69E-07,7.94E-04,3.97E-06,8.44E-10,3.96861E-06
1,MS,5,0,0,True,False,0.02894,0.02894,0.002,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,7.15E-02,1.32E-02,0.00E+00,1.89E-01,2.98E-05,0.00E+00,2.98E-05,1.49E-07,0.00E+00,1.4896E-07
1,MS,6,0,0,True,False,0.02894,0.02894,0.00072,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,1.94E-02,3.58E-03,0.00E+00,5.12E-02,8.08E-06,0.00E+00,8.08E-06,4.04E-08,0,4.03812E-08
1,MS,7,0,0,True,False,0.02894,0.02894,0.00031,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,6.63E-03,1.23E-03,0.00E+00,1.75E-02,2.76E-06,0.00E+00,2.76E-06,1.38E-08,0,1.38195E-08
1,MS,8,0,0,True,False,0.02894,0.02894,0.00016,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,2.88E-03,5.33E-04,0.00E+00,7.61E-03,1.20E-06,0.00E+00,1.20E-06,6.00E-09,0,6.00252E-09
1,MS,9,0,0,True,False,0.02894,0.02894,0.00007,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,1.04E-03,1.93E-04,0.00E+00,2.75E-03,4.34E-07,0.00E+00,4.34E-07,2.17E-09,0,2.16997E-09
1,MS,10,0,0,True,False,0.02894,0.02894,0.00005,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,False,NA,NA,False,6.99E-04,1.29E-04,0.00E+00,1.85E-03,2.91E-07,0.00E+00,2.91E-07,1.46E-09,0,1.45699E-09
