plant,axis,metamer,hiddenzone_age,leaf_pseudo_age,internode_pseudo_age,leaf_is_growing,internode_is_growing,leaf_pseudostem_length,internode_distance_to_emerge,leaf_L,internode_L,delta_leaf_pseudo_age,delta_internode_pseudo_age,delta_internode_distance_to_emerge,delta_internode_L,delta_leaf_L,delta_leaf_pseudostem_length,leaf_Lmax,leaf_Lmax_em,lamina_Lmax,sheath_Lmax,leaf_Wmax,SSLW,LSSW,leaf_is_emerged,internode_Lmax,internode_Lmax_lig,LSIW,internode_is_visible,sucrose,amino_acids,fructan,proteins,leaf_enclosed_mstruct,internode_enclosed_mstruct,mstruct,leaf_enclosed_Nstruct,internode_enclosed_Nstruct,Nstruct,mean_conc_sucrose,is_over
1,MS,0,1917720,0,0,True,False,0.0019,0,0.0019,0,0,0,0,0,0,0,0.028,0.028,0,0.028,NA,NA,NA,False,NA,NA,NA,False,1.21E+01,1.01E+00,0.00E+00,1.01E+01,2.79E-05,0.00E+00,2.79E-05,1.40E-07,0.00E+00,1.40E-07,2100,False
1,MS,1,1369800,0,0,True,False,0.0019,0,0.0017,0,0,0,0,0,0,0,0.11,0.11,0.082,0.028,NA,NA,NA,False,NA,NA,NA,False,2.92E+00,4.79E-01,0.00E+00,4.79E+00,2.42E-05,0.00E+00,2.42E-05,1.21E-07,0.00E+00,1.21E-07,2100,False
1,MS,2,821880,#N/A,0,True,False,0.0019,0,4.00E-04,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,False,6.58E-02,2.11E-02,0.00E+00,2.11E-01,3.82E-06,0.00E+00,3.82E-06,1.91E-08,0.00E+00,1.91E-08,NA,False
1,MS,3,273960,#N/A,0,True,False,0.0019,0,1.50E-04,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,False,1.79E-02,5.76E-03,0.00E+00,5.76E-02,1.11E-06,0.00E+00,1.11E-06,5.55E-09,0.00E+00,5.55E-09,NA,False
